"아이디","강의 아이디","강의 카테고리 아이디","강의 카테고리명","강의 명","비용","강의 구분","주차 사용 여부","분반 일련번호","수강신청 상태","강의 시작 일자","등록 일자","수강신청 시작 일자","수료증 로트 명","기관 아이디","기관명","기관 구","X좌표","Y좌표","추천여부","인기여부","신규여부","상태","강의 이미지 파일 경로","수집데이터 아이디","과목 아이디","미리보기 주소","콘텐츠 아이디","회차번호","회차수"
"ASP00001","S100120260121153375","202601163996989","데이터 사이언스","[HD]프롬프트 하나로 데이터 분석 - LangChain(랭체인)으로 AI 분석 Part.4-1 BaseCallbackHandler, toolformer 논문","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153375.png","","","https://mp.itgo.co.kr/mp4/SN100115/01.mp4","S100120260121153375","145153","1"
"ASP00001","S100120260121153462","202601168903809","청소년","[청소년 흡연예방교육] 담배를 피우는 청소년 그리고 그들의 심리 #3","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153462.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153462/01.mp4/playlist.m3u8","S100120260121153462","147454","1"
"ASP00001","S100120260121153306","202601162998648","민간자격","[HD]GTQ 포토샵 기출 문제 (2025 대비) 2급(3급 포함)","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터90일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153306.png","","","https://mp.itgo.co.kr/mp4/N070117/01.mp4","S100120260121153306","145339","1"
"ASP00001","S100120260121153506","202601169333472","콘텐츠 제작","[HD]YouTube Shorts(유튜브 쇼츠)에 영상 만들어 올리고 홍보하기","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153506.png","","","https://mp.itgo.co.kr/mp4/M100807/01.mp4","S100120260121153506","145543","1"
"ASP00001","S100120260121153443","20260116875800","영어","첫걸음 오픽 IM(3급) - STEP1","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터90일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153443.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153443/01.mp4/playlist.m3u8","S100120260121153443","146588","1"
"ASP00001","S100120260121153497","202601167756943","인공지능","[HD]인공지능(AI) - 텍스트로 이미지를 생성해 주는 Midjourney(미드저니) 배우기","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153497.png","","","https://mp.itgo.co.kr/mp4/M050214/01.mp4","S100120260121153497","144743","1"
"ASP00001","S100120260121153298","202601166381796","디지털 업무생산성","[HD]한번에 합격하는 ITQ Excel 2021 (2024 개정) Part.1 기본2","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153298.png","","","https://mp.itgo.co.kr/mp4/M061839/01.mp4","S100120260121153298","145222","1"
"ASP00001","S100120260121153240","202601161698888","창업전략","공간의 미래","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153240.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153240/01.mp4/playlist.m3u8","S100120260121153240","143956","1"
"ASP00001","S100120260121153287","202601167257866","소프트웨어 개발","[HD]No code(노코드)! AppSheet(앱시트)로 코딩없이 전문가 수준 앱 만들기 (입문) Part.3 컬럼 타입","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153287.png","","","https://mp.itgo.co.kr/mp4/L060107/01.mp4","S100120260121153287","145453","1"
"ASP00001","S100120260121153057","202601161966703","은퇴설계","쫓기지 않는 50대를 사는 법","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153057.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153057/01.mp4/playlist.m3u8","S100120260121153057","148388","1"
