교육명,교육목적내용,교육시작일,교육종료일,교육시간,교육요일,강의실정보내용,교육금액,재료금액,정원수,모집시작일,모집마감일,수강자격연령,수강자격성별,교육상태명,교육순번
[청년] 2019년 11월 5일~7일 청년 집단상담 프로그램 : 분석과 통합을 통한 청년 취업역량 마스터 프로그램,미취업청년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2019-11-05T00:00:00,2019-11-07T00:00:00,13:00~17:00,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),15,2019-10-08T00:00:00,2019-11-04T00:00:00,20세 ~ 34세,성별 제한없음,교육마감,1000001933
2019년 10월 5060취업심화교육 : 신(新)중년의 내:일(FUTURE:MY JOB) 찾기,중장년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2019-10-29T00:00:00,2019-10-31T00:00:00,13:30~17:30,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),13,2019-09-18T00:00:00,2019-10-27T00:00:00,50세 ~ 64세,성별 제한없음,교육마감,1000001916
10월 청년취업특강,구직자 취업역량 강화를 통한 취업성공률 향상,2019-10-17T00:00:00,2019-10-17T00:00:00,13:00~16:00,목요일,서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),20,2019-09-18T00:00:00,2019-10-16T00:00:00,20세 ~ 34세,성별 제한없음,교육마감,1000001917
2019년 10월 15일 5060취업준비교육,구직자 취업역량 강화를 통한 취업성공률 향상,2019-10-15T00:00:00,2019-10-15T00:00:00,09:30~12:30,화요일,서울일자리센터(서울시청 무교로 청사),무료,(재료비 무료),20,2019-09-18T00:00:00,2019-10-13T00:00:00,50세 ~ 64세,성별 제한없음,교육마감,1000001915
9월 청년취업특강,구직자 취업역량 강화를 통한 취업성공률 향상,2019-09-26T00:00:00,2019-09-26T00:00:00,13:00~16:00,목요일,서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),20,2019-08-16T00:00:00,2019-09-25T00:00:00,20세 ~ 39세,성별 제한없음,교육마감,1000001900
[청년] 2019년 9월 17일~19일 청년 집단상담 프로그램 : 취업 노마드 종착역,미취업청년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2019-09-17T00:00:00,2019-09-19T00:00:00,13:00~17:00,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),15,2019-08-16T00:00:00,2019-09-16T00:00:00,20세 ~ 34세,성별 제한없음,교육마감,1000001898
2019년 9월 5일 5060취업준비교육,구직자 취업역량 강화를 통한 취업성공률 향상,2019-09-05T00:00:00,2019-09-05T00:00:00,09:30~12:30,목요일,서울일자리센터(서울시청 무교로 청사),무료,(재료비 무료),20,2019-08-16T00:00:00,2019-09-04T00:00:00,50세 ~ 64세,성별 제한없음,교육마감,1000001897
2019년 8월 4050취업심화교육 : 리스타트(Re:Start),중장년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2019-08-20T00:00:00,2019-08-22T00:00:00,13:30~17:30,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),13,2019-07-17T00:00:00,2019-08-19T00:00:00,40세 ~ 54세,성별 제한없음,교육마감,1000001881
8월 청년취업특강,구직자 취업역량 강화를 통한 취업성공률 향상,2019-08-06T00:00:00,2019-08-06T00:00:00,13:00~16:00,화요일,서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),20,2019-07-17T00:00:00,2019-08-05T00:00:00,20세 ~ 34세,성별 제한없음,교육마감,1000001880
7월 청년모의면접,면접역량 강화를 통해 취업성공률을 높이고자 함,2019-07-25T00:00:00,2019-07-25T00:00:00,13:00~16:00,목요일,서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),15,2019-07-10T00:00:00,2019-07-24T00:00:00,20세 ~ 34세,성별 제한없음,교육마감,1000001870
