"조서관리코드","프로젝트코드","지자체","조서유형(구분)","이전 조서관리코드","최상위 조서관리코드","대분류","중분류","소분류","위치명","지역명","면적기정","면적증감코드","면적변경","면적변경후","결정고시관리코드"
"11000UTZ201109282896","11000PPL201109156233","서울특별시","기정","11000UTZ201009152724","11000UTZ201009152724","지구단위계획구역","","","동대문구 이문동 46-1번지","이문동 46-1번지 지구단위계획구역","6444","","","6444","11000NTC201109156233"
"11740UTZ202211250001","11740PPL202211250003","강동구","신설","","","지구단위계획구역","","","천호동 532-2번지 일대","천호동 532-2번지 일대  지구단위계획구역","0","1","2462","24620","11740NTC202402260001"
"11710UTZ202201210001","11710PPL202201210001","송파구","변경","11000UTZ202012020084","","특별계획구역","","","위례지구 남서측(블록명:복합2~3)","","112496","","","130943","11710NTC202201210002"
"11230UTZ202107160001","11230PPL202107160001","동대문구","변경","11000UTZ202008190001","","지구단위계획구역","","","","이문1재정비촉진구역","144856","","","144856","11230NTC202107160001"
"11000UTZ200012261298","11000PPL200012260092","서울특별시","변경","11000UTZ200002111369","11000UTZ200002111369","지구단위계획구역","","","강서구  가양동, 공항동, 내발산동, 등촌동, 염창동, 화곡동 일","김포가도 제1종지구단위계획구역","602571","","","398131","11000NTC200012260092"
"11440UTZ202410140001","11440PPL202410140009","마포구","신설","","","지구단위계획구역","","","마포구 공덕동 11-24번지  일대","공덕8구역 지구단위계획","0","1","84389","84389","11440NTC202410140005"
"11000UTZ201801313513","11000PPL201711278345","서울특별시","신설","","11000UTZ201801313513","지구단위계획구역","","","성북구 정릉동 894-22 일원","서울 정릉공공주택지구 지구단위계획구역","","1","5753","5753","11000NTC201711278345"
"11000UTZ201512154288","11000PPL201511137644","서울특별시","변경","11000UTZ200812303755","11000UTZ200206276155","특별계획구역","","","영등포구 영등포동4가 318-2번지 일대","영등포지역 부도심권 지구단위계획구역","3622","1","14.8","3636.8","11000NTC201511137644"
"11000UTZ201706284404","11000PPL200908133715","서울특별시","신설","","11000UTZ201706284404","특별계획구역","","","중랑구 상봉동 91-1 일대","","","1","3031.9","3031.9","11000NTC200908133715"
"11000UTZ200009191326","11000PPL200009199860","서울특별시","변경","11000UTZ199702131496","11000UTZ200009191326","지구단위계획구역","","","서대문구 북아현동 998번지 일대","아현 제1종지구단위계획구역","9200","","","15080","11000NTC200009199860"
"11380UTZ202308080007","11380PPL202406240006","은평구","변경","11380UTZ202308080005","","지구단위계획구역","","","불광동  227-7번지 일대","독바위역세권  도시정비형 재개발  지구단위계획구역","47788","1","0","47788","11380NTC202406240007"
"11000UTZ200106253802","11000PPL200106250922","서울특별시","변경","11000UTZ200103223741","11000UTZ200106253802","지구단위계획구역","","","은평구 불광동 272-5번지 일대","불광지구 제1종지구단위계획구역","163660","","","164850","11000NTC200106250922"
"11000UTZ200106253802","11000PPL200106250922","서울특별시","변경","11000UTZ200103223741","11000UTZ200106253802","지구단위계획구역","","","은평구 불광동 272-5번지 일대","불광지구 제1종지구단위계획구역","163660","","","164850","11000NTC200106250922"
"11000UTZ201106212814","11000PPL201104286067","서울특별시","변경","11000UTZ200106253802","11000UTZ200106253802","지구단위계획구역","","","불광동272-5번지 일대","불광지구단위계획구역","164850","2","4319","160531","11000NTC201104286067"
"11000UTZ201106212814","11000PPL201104286067","서울특별시","변경","11000UTZ200106253802","11000UTZ200106253802","지구단위계획구역","","","불광동272-5번지 일대","불광지구단위계획구역","164850","2","4319","160531","11000NTC201104286067"
"11000UTZ202012200004","11000PPL201507087527","서울특별시","변경","","11000UTZ202012200004","지구단위계획구역","","","강동구 상일동, 강일동 일원","서울강일2택지개발사업지구","589561.7","2","0.3","589561.4","11000NTC201507087527"
"11000UTZ202306290006","11000PPL202306290003","서울특별시","신설","","","지구단위계획구역","","","서초구 반포동,  잠원동 일대","반포아파트지구 지구단위계획구역","0","1","2821097.5","2821097.5","11000NTC202310040001"
"11000UTZ202012020009","11000PPL202012020004","서울특별시","신설","","","특별계획구역","","","자양동 7-17","건대입구역지구 지구단위계획구역","0","","","638","11000NTC202012020004"
"11650UTZ202308160001","11650PPL202308160003","서울특별시","신설","","","특별계획구역","","","양재동 232","양재택지 지구단위계획구역","0","1","17460","17460","11650NTC202309080003"
"11590UTZ202204130002","11000PPL202402050002","동작구","변경","11590UTZ202204130001","","지구단위계획구역","","","상도동 154-30번지 일원","상도동 154-30번지 일원 역세권 공공임대주택 지구단위계획구역","29786.8","","0","29786.8","11590NTC202402050003"
"11000UTZ202306290026","11000PPL202306290003","서울특별시","신설","","","특별계획구역","","","잠원동 56-3번지","반포아파트지구 지구단위계획구역","0","1","22281.5","22281.5","11000NTC202310040001"
"11000UTZ201704113399","11000PPL201610207909","서울특별시","변경","11000UTZ201009132721","11000UTZ199804271123","지구단위계획구역","","","영등포구 대림동 706번지 일원","대림2생활권 지구단위계획구역","89890","2","9890","80000","11000NTC201610207909"
"11000UTZ201704113399","11000PPL201610207909","서울특별시","변경","11000UTZ201009132721","11000UTZ199804271123","지구단위계획구역","","","영등포구 대림동 706번지 일원","대림2생활권 지구단위계획구역","89890","2","9890","80000","11000NTC201610207909"
"11000UTZ201704113399","11000PPL201610207909","서울특별시","변경","11000UTZ201009132721","11000UTZ199804271123","지구단위계획구역","","","영등포구 대림동 706번지 일원","대림2생활권 지구단위계획구역","89890","2","9890","80000","11000NTC201610207909"
"11170UTZ202112080003","11170PPL202406190001","용산구","변경","11170UTZ202112080002","","지구단위계획구역","","","용산구 이태원동, 한남동 일대 ","이태원로 주변 지구단위계획구역 ","290718.9","","","287412.6","11170NTC202406190001"
"11000UTZ201707184409","11000PPL201705258123","서울특별시","변경","11000UTZ201706284408","11000UTZ200008166150","특별계획구역","","","중랑구 상봉동 501 일대","망우지구 지구단위계획구역","8759","1","13.1","8772.1","11000NTC201705258123"
"11000UTZ201711074440","11000PPL201707138201","서울특별시","폐지","11000UTZ200906253799","11000UTZ200702263638","특별계획구역","","","동작구 상도동 176-1 일대","","12122","2","12122","","11000NTC201707138201"
"11000UTZ201711074440","11000PPL201707138201","서울특별시","폐지","11000UTZ200906253799","11000UTZ200702263638","특별계획구역","","","동작구 상도동 176-1 일대","","12122","2","12122","","11000NTC201707138201"
"11000UTZ201711074440","11000PPL201707138201","서울특별시","폐지","11000UTZ200906253799","11000UTZ200702263638","특별계획구역","","","동작구 상도동 176-1 일대","","12122","2","12122","","11000NTC201707138201"
"11000UTZ200812162500","11000PPL200802051787","서울특별시","변경","11000UTZ200009191326","11000UTZ200009191326","지구단위계획구역","","","북아현동 990번지 일대","아현 제1종지구단위계획구역","15080","1","1992","17072","11000NTC200802051787"
"11000UTZ200812162500","11000PPL200802051787","서울특별시","변경","11000UTZ200009191326","11000UTZ200009191326","지구단위계획구역","","","북아현동 990번지 일대","아현 제1종지구단위계획구역","15080","1","1992","17072","11000NTC200802051787"
"11000UTZ200812162500","11000PPL200802051787","서울특별시","변경","11000UTZ200009191326","11000UTZ200009191326","지구단위계획구역","","","북아현동 990번지 일대","아현 제1종지구단위계획구역","15080","1","1992","17072","11000NTC200802051787"
"11000UTZ201606073342","11000PPL201601147703","서울특별시","변경","11000UTZ200812162500","11000UTZ200009191326","지구단위계획구역","","","서대문구 북아현동 998번지 일대","아현지구단위계획구역","17072","1","901.7","17973.7","11000NTC201601147703"
"11000UTZ202006220001","11000PPL202006220005","서울특별시","변경","","","특별계획구역","","","개포동 12번","대치택지개발지구","121040","","","28517.73","11000NTC202006220005"
