"시설ID","시설명","서비스분류코드","서비스분류명","자치구코드","자치구명","연령구분코드","연령구분","X좌표값","Y좌표값","우편번호","기본주소","상세주소","설립일","사용료무료여부","사용료","전용면적(평)","학기시작시간","학기종료시간","방학시작시간","방학종료시간","재량휴일시작시간","재량휴일종료시간","토요일운영여부","토요일운영시작시간","토요일운영종료시간","월사용료무료여부","월자기부담금","월사용료","일사용료무료여부","일자기부담금","일사용료","상시돌봄정원수","일시돌봄정원수","전용면적(m2)","자치구코드배열","아침돌봄서비스여부","등록일시","수정일시"
"SD230902","성동13호점 우리동네키움센터(송정동아이꿈누리터)","1001","우리동네키움센터","11200","성동구","1003","초등학생","127.06858979155335","37.55328572543835","04800","서울특별시 성동구 송정18가길 9","5층 송정동 아이꿈누리터 (송정동 공공복합청사) (송정동)","2023-10-04","","","25","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","22","2","85.62","","N","2023-09-25 09:57:18.0","2024-08-26 11:00:44.0"
"GA230702","관악 5호점 우리동네키움센터","1001","우리동네키움센터","11620","관악구","1003","초등학생","126.922","37.46599","08857","서울특별시 관악구 난곡로16길 30-6","2층 (신림동)","2023-06-01","","","72.842","0900","1900","0700","1800","0700","2000","N","1000","1600","N","","50000","N","","2500","30","6","240.8","","Y","2023-07-17 10:47:04.0","2026-01-05 09:47:20.0"
"GA230701","관악 4호점 우리동네키움센터","1001","우리동네키움센터","11620","관악구","1003","초등학생","126.94084","37.48588","08750","서울특별시 관악구 은천로10길 3","1층 (봉천동)","2023-06-01","","","34.7754","1200","1900","0900","1800","0900","1800","N","1000","1900","N","","50000","N","","2500","20","4","114.96","","N","2023-07-17 09:49:20.0","2026-03-06 13:23:59.0"
"JR230701","중랑구6호점 묵1동우리동네키움센터","1001","우리동네키움센터","11260","중랑구","1003","초등학생","127.08049","37.61124","02037","서울특별시 중랑구 동일로160길 49","2층 (묵동)","2023-07-26","","","35","0900","2000","0900","1900","0900","2000","N","","","N","","50000","N","","2500","24","5","115.8","","N","2023-07-14 23:28:07.0","2026-04-21 16:27:16.0"
"SM230601","서대문구9호점 우리동네키움센터","1001","우리동네키움센터","11410","서대문구","1003","초등학생","126.9473","37.59238","03624","서울특별시 서대문구 세무서길 103","2층(서대문구9호점 우리동네키움센터) (홍제동)","2023-07-17","","","47","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","28","5","156","","N","2023-06-26 09:24:49.0","2024-10-25 10:12:15.0"
"GB230501","강북구 8호점 우리동네키움센터(번2동)","1001","우리동네키움센터","11305","강북구","1003","초등학생","127.035","37.63472","01137","서울특별시 강북구 한천로 943-1","지상1~2층 (번동)","2023-06-01","","","46","1300","2000","0900","2000","0900","1900","N","","","N","","50000","N","","2500","20","4","153.42","","N","2023-05-01 15:03:07.0","2026-04-07 16:28:34.0"
"JG230201","중구8호점 우리동네키움센터(중구 초등돌봄 서울역자이키움센터)","1001","우리동네키움센터","11140","중구","1003","초등학생","126.96446","37.55478","04500","서울특별시 중구 만리재로 175","110동 P2층 서울역자이센터 (만리동2가, 서울역센트럴자이)","2023-03-02","","","33","1200","2000","0800","2000","0800","2000","N","","","Y","0","","","0","","22","4","110","","N","2023-02-21 16:32:03.0","2026-03-13 11:11:29.0"
"SM230201","서대문구8호점 우리동네키움센터","1001","우리동네키움센터","11410","서대문구","1003","초등학생","126.95183","37.58021","03731","서울특별시 서대문구 통일로 333","나, 다동 2층 (서대문구8호점 우리동네키움센터)","2023-03-02","","","56","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","24","4","185","","Y","2023-02-16 17:43:38.0","2025-12-23 18:15:15.0"
"DM230201","동대문구 7호점 우리동네키움센터","1001","우리동네키움센터","11230","동대문구","1003","초등학생","127.0511083929832","37.57624372495616","02553","서울특별시 동대문구 사가정로 65","108동 1층 (전농동, 래미안 크레시티)","2023-03-02","","","63","1300","1900","0900","1800","0900","1800","N","0900","1300","N","","50000","N","","2500","30","6","208","","N","2023-02-06 13:03:34.0","2026-02-05 17:42:22.0"
"MP230102","마포8호점우리동네키움센터 (아현동)","1001","우리동네키움센터","11440","마포구","1003","초등학생","126.95369","37.55022","04131","서울특별시 마포구 마포대로 167","공덕 래미안 5차 B블럭 커뮤니티센터 내","2023-03-02","","","57.02","1300","2000","0900","1800","0900","1800","N","","","N","","50000","N","","2500","22","4","188.50","","N","2023-01-26 08:12:17.0","2026-01-14 12:49:03.0"
"MP230101","마포구9호점 우리동네키움센터(합정동)","1001","우리동네키움센터","11440","마포구","1003","초등학생","126.90821","37.55289","04022","서울특별시 마포구 양화로1길 108","1층 (마포9호점 합정동키움센터) (합정동)","2023-01-01","","","40.87","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","135.12","","Y","2023-01-17 14:11:55.0","2025-01-17 13:32:59.0"
"BP230101","제4호(구로?금천권) 거점형 우리동네키움센터","1008","거점형키움센터","11530","구로구","1003","초등학생","126.84286","37.49349","08335","서울특별시 구로구 서해안로 2329"," (오류동)","2023-04-08","","","","1300","2000","0800","2000","1000","2000","Y","1000","1800","","0","","N","","2500","0","18","","11530,11545","N","2023-01-16 16:09:18.0","2025-08-27 11:30:54.0"
"YC230101","양천구 5호점 우리동네키움센터 (융합형)","1009","융합형키움센터","11470","양천구","1003","초등학생","126.84735","37.52005","08061","서울특별시 양천구 신월로24길 19","신월종합사회복지관 4층 (신월동)","2023-01-02","","","96","1300","2000","0800","2000","0900","2000","Y","0900","1300","N","","50000","N","","2500","40","8","318","","N","2023-01-04 15:30:10.0","2026-04-20 10:28:03.0"
"KC230101","금천구 4호점 우리동네키움센터(시흥1동)","1001","우리동네키움센터","11545","금천구","1003","초등학생","126.90323","37.44889","08631","서울특별시 금천구 시흥대로 164","2층 201호 (시흥동)","2023-01-01","","","40","1000","1900","0800","1900","0800","1800","N","","","N","","50000","N","","2500","20","4","134","","N","2023-01-02 15:01:43.0","2025-10-17 15:10:21.0"
"GS221201","강서6호점 우리동네키움센터(화곡8동)","1001","우리동네키움센터","11500","강서구","1003","초등학생","126.84924054960537","37.529991018611945","07781","서울특별시 강서구 강서로5길 50","곰달래문화복지센터 202호 (화곡동)","2023-01-02","","","30","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","99.39","","N","2022-12-12 00:49:53.0","2026-01-09 00:22:48.0"
"DJ221101","동작14호점 우리동네키움센터(상도3동)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.93247","37.50212","06951","서울특별시 동작구 상도로15가길 14","1~2층 (상도동)","2022-10-17","","","48","0900","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","30","6","159","","N","2022-11-03 12:36:55.0","2026-04-13 13:22:50.0"
"GB221101","강북구 6호점 우리동네키움센터(융합형)(삼각산동)","1009","융합형키움센터","11305","강북구","1003","초등학생","127.01751","37.61676","01196","서울특별시 강북구 삼양로19길 102","1층 (미아동)","2022-12-01","","","119","0700","2200","0700","2200","0900","2200","Y","0900","1300","N","","50000","N","","2500","36","7","395.22","","Y","2022-11-01 15:40:16.0","2026-01-28 09:43:09.0"
"DM221001","동대문구 6호점 우리동네키움센터","1001","우리동네키움센터","11230","동대문구","1003","초등학생","127.03419","37.58402","02476","서울특별시 동대문구 약령시로5길 22","2층 (제기동)","2022-11-14","","","23.9","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","79","","N","2022-10-18 10:01:16.0","2026-01-08 14:28:33.0"
"GR221001","구로19호점 우리동네키움센터(항동융합형)","1009","융합형키움센터","11530","구로구","1003","초등학생","126.82275800323673","37.479058355717356","08368","서울특별시 구로구 연동로 191-19","항동복합행정센터 내 2층 (항동)","2022-10-17","","","71","0900","2000","0800","2000","0900","2000","Y","0800","1400","N","","50000","N","","2500","36","7","233.77","","N","2022-10-05 16:23:24.0","2025-11-06 15:45:38.0"
"EP220902","은평12호점 우리동네키움센터","1001","우리동네키움센터","11380","은평구","1003","초등학생","126.93477","37.60276","03382","서울특별시 은평구 통일로 627","3층 은평12호점 우리동네키움센터 (녹번동)","2022-09-26","","","55","1300","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","25","5","180.9","","N","2022-09-23 18:10:54.0","2026-04-24 10:40:00.0"
"SP220901","송파18호점 우리동네키움센터(위례동2호점 송파키움센터)","1001","우리동네키움센터","11710","송파구","1003","초등학생","127.15113846964636","37.487727992038884","05776","서울특별시 송파구 위례북로4길 12","커뮤니티센터 1층 (거여동, 위례포레샤인 18단지)","2022-10-04","","","29","1000","1900","0900","1800","0900","1800","N","0900","1800","N","","50000","N","","2500","25","5","95","","N","2022-09-23 17:52:59.0","2026-02-06 15:25:49.0"
"EP220901","은평11호점 우리동네키움센터","1001","우리동네키움센터","11380","은평구","1003","초등학생","126.92267","37.61524","03385","서울특별시 은평구 통일로73길 16","2층 (대조동)","2022-09-14","","","41","1300","2000","0900","1900","0900","1900","N","","","N","","50000","N","","2500","25","5","136","","N","2022-09-07 12:46:24.0","2025-12-26 11:21:29.0"
"EP220801","은평10호점 우리동네키움센터","1001","우리동네키움센터","11380","은평구","1003","초등학생","126.92042","37.59988","03454","서울특별시 은평구 은평로 114","3층 (응암동)","2022-09-01","","","50","0700","1900","0700","1800","0700","1800","N","","","N","","50000","N","","2500","25","5","165","","Y","2022-08-23 18:42:42.0","2026-02-05 14:55:21.0"
"BP220801","제5호(성북?동대문권) 거점형 우리동네키움센터","1008","거점형키움센터","11290","성북구","1003","초등학생","127.03713","37.59222","02796","서울특별시 성북구 회기로3길 17","2~4층 (종암동)","2022-09-13","","","","1300","2000","0800","2000","1000","1800","Y","1000","1800","","0","","N","","2500","0","21","","11230,11290","N","2022-08-10 11:14:56.0","2026-04-01 11:45:28.0"
"SB220701","성북11호점 우리동네키움센터(삼선동)","1001","우리동네키움센터","11290","성북구","1003","초등학생","127.01336","37.58574","02870","서울특별시 성북구 보문로29길 101","3층 (삼선동3가)","2022-07-01","","","40","0900","1900","0800","1900","0800","1900","N","","","N","","50000","N","","2500","30","6","132","","N","2022-07-11 12:24:32.0","2026-04-17 17:42:23.0"
"SD220601","성동12호점 우리동네키움센터(융합형 서울숲아이꿈누리터)","1009","융합형키움센터","11200","성동구","1003","초등학생","127.0415","37.54907","04767","서울특별시 성동구 왕십리로11길 19","서울숲아이꿈누리터 . 1F (성수동1가)","2022-06-27","","","69","1300","2000","0800","2000","1300","1400","Y","0900","1300","N","","50000","N","","2500","30","0","227.8","","N","2022-06-21 17:33:16.0","2025-11-12 16:46:08.0"
"GR220601","구로18호점 우리동네키움센터(구로신도림)","1001","우리동네키움센터","11530","구로구","1003","초등학생","126.88521","37.50959","08207","서울특별시 구로구 경인로65길 44","보미프라자 1층, 키움센터 구로18호점 (신도림동)","2022-06-20","","","27","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","90.82","","N","2022-06-13 14:28:46.0","2025-10-10 09:24:08.0"
"DJ220601","동작13호점 융합형 우리동네키움센터(사당동)","1009","융합형키움센터","11590","동작구","1003","초등학생","126.97422","37.48183","07011","서울특별시 동작구 사당로20나길 25","1층 (사당동)","2022-07-11","","","78","0700","2200","0700","2200","0700","2200","Y","0800","1200","N","","50000","N","","2500","30","6","259.56","","Y","2022-06-08 16:52:54.0","2026-04-02 10:52:59.0"
"SP220601","송파17호점 우리동네키움센터(거여2동 송파키움센터)","1001","우리동네키움센터","11710","송파구","1003","초등학생","146.30339518654316","36.67722803676529","05764","서울특별시 송파구 오금로 551","관리동 1층 (거여동, e편한세상 송파 파크센트럴)","2022-06-21","","","36","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","25","5","120","","N","2022-06-06 12:15:55.0","2026-04-16 12:06:55.0"
"GA220501","관악3호점 우리동네키움센터","1001","우리동네키움센터","11620","관악구","1003","초등학생","126.95832","37.48667","08733","서울특별시 관악구 청림2길 37","2층 (봉천동)","2022-11-01","","","46","1300","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","25","5","152.73","","N","2022-05-26 15:59:07.0","2026-02-01 11:04:11.0"
"JR220502","중랑구5호점 망우본동우리동네키움센터(중랑아동돌봄센터)","1001","우리동네키움센터","11260","중랑구","1003","초등학생","127.10619908755804","37.608531600302115","02057","서울특별시 중랑구 양원역로 92","지역편의시설 2 (망우동, LH서울양원1단지)","2022-05-25","","","29","1300","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","22","4","97.46","","Y","2022-05-16 11:25:38.0","2026-03-06 09:45:48.0"
"JR220501","중랑구4호점 면목7동우리동네키움센터(중랑아동돌봄센터)","1001","우리동네키움센터","11260","중랑구","1003","초등학생","127.08959","37.58003","02250","서울특별시 중랑구 용마산로51길 42","202호 (면목동, 유진 뜨레지움)","2022-05-23","","","39","1300","2000","0900","2000","0900","2000","N","","","N","","50000","N","","2500","28","4","130.45","","N","2022-05-16 10:18:38.0","2026-01-02 10:06:44.0"
"GS220501","강서5호점 우리동네키움센터(공항동)","1001","우리동네키움센터","11500","강서구","1003","초등학생","126.822029779833","37.55878843505723","07808","서울특별시 강서구 공항대로 124","1105동 상가동 1층 (마곡동, 마곡엠밸리11단지)","2022-06-02","","","43","1300","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","20","4","143.3","","N","2022-05-04 14:50:58.0","2026-02-10 11:48:43.0"
"DM220501","동대문구 5호점 우리동네키움센터","1001","우리동네키움센터","11230","동대문구","1003","초등학생","127.06997","37.58718","02511","서울특별시 동대문구 장안벚꽃로 323","2층 (휘경동)","2022-05-16","","","53","1300","1900","0900","1800","0900","1800","N","0900","1400","N","","50000","N","","2500","25","5","175","","N","2022-05-02 16:24:27.0","2026-01-02 16:19:34.0"
"YC220403","양천구 4호점 우리동네키움센터","1001","우리동네키움센터","11470","양천구","1003","초등학생","126.86357264980366","37.54836216082769","07950","서울특별시 양천구 등촌로 208","목동깨비시장 공유센터 3층 (목동)","2022-05-09","","","24","1000","2000","0900","1800","0900","1900","N","1100","1700","N","","50000","N","","2500","20","4","80.5","","N","2022-04-27 09:42:11.0","2026-03-19 00:17:01.0"
"GN220401","강남8호점 우리동네키움센터(자곡다함께키움센터)","1001","우리동네키움센터","11680","강남구","1003","초등학생","127.0945","37.4715","06373","서울특별시 강남구 자곡로 100","자곡문화센터 1층 (자곡동)","2022-04-22","","","23.4","1000","1900","0900","1800","0900","1800","N","0800","1200","N","","50000","N","","2500","15","3","77.4","","N","2022-04-13 13:19:42.0","2025-10-22 17:26:28.0"
